Make,Model,Accidents,Avg_Fatal_Injuries,Avg_Serious_Injuries,Destruction_Rate,Serious_Fatal_Fraction
PIPER,PA18,35,0.14285714285714285,0.17142857142857143,0.05714285714285714,0.3142857142857143
HUGHES,369D,35,0.4,0.34285714285714286,0.05714285714285714,0.7428571428571429
CESSNA,172R,69,0.2608695652173913,0.14492753623188406,0.057971014492753624,0.4057971014492754
PIPER,PA-28-140,120,0.30833333333333335,0.4083333333333333,0.058333333333333334,0.7166666666666667
Schweizer,SGS-2-33A,17,0.0,0.29411764705882354,0.058823529411764705,0.29411764705882354
CESSNA,U206G,34,0.4117647058823529,0.5882352941176471,0.058823529411764705,1.0
Mcdonnell Douglas,DC-9-31,17,6.411764705882353,0.29411764705882354,0.058823529411764705,6.705882352941177
CESSNA,170,49,0.12244897959183673,0.1836734693877551,0.061224489795918366,0.30612244897959184
Douglas,DC-9-32,16,8.375,0.4375,0.0625,8.8125
Boeing,727-223,16,8.8125,1.8125,0.0625,10.625
EUROCOPTER,AS 350 B3,16,0.1875,0.1875,0.0625,0.375
HILLER,UH-12E,16,0.0,0.5,0.0625,0.5
Cessna,185E,32,0.1875,0.125,0.0625,0.3125
Let,L-13,48,0.08333333333333333,0.125,0.0625,0.20833333333333331
Canadair,CL-600-2B19,16,0.1875,0.5,0.0625,0.6875
Grumman,G164B,16,0.0,0.0,0.0625,0.0
CESSNA,402C,16,0.3125,0.0,0.0625,0.3125
BELL,206B,95,0.43157894736842106,0.2631578947368421,0.06315789473684211,0.6947368421052631
CESSNA,182P,62,0.2903225806451613,0.3548387096774194,0.06451612903225806,0.6451612903225807
Piper,PA-14,30,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.23333333333333334
CESSNA,182M,15,0.4666666666666667,0.5333333333333333,0.06666666666666667,1.0
CESSNA,188,15,0.26666666666666666,0.06666666666666667,0.06666666666666667,0.3333333333333333
BEECH,95-B55 (T42A),15,0.3333333333333333,0.4,0.06666666666666667,0.7333333333333334
SIKORSKY,S76,15,0.7333333333333333,0.8,0.06666666666666667,1.5333333333333332
Maule,M-4,15,0.4,0.0,0.06666666666666667,0.4
PIPER,PA-22,15,0.2,0.3333333333333333,0.06666666666666667,0.5333333333333333
PIPER,PA 24-250,15,0.4,0.2,0.06666666666666667,0.6000000000000001
CESSNA,172G,15,0.06666666666666667,0.3333333333333333,0.06666666666666667,0.39999999999999997
HUGHES,269C,15,0.2,0.2,0.06666666666666667,0.4
Schweizer,SGS 2-33,15,0.0,0.4,0.06666666666666667,0.4
CESSNA,182J,15,0.06666666666666667,0.6,0.06666666666666667,0.6666666666666666
Piper,PA-20,104,0.09615384615384616,0.0673076923076923,0.0673076923076923,0.16346153846153846
CESSNA,172M,131,0.32061068702290074,0.25190839694656486,0.06870229007633588,0.5725190839694656
CESSNA,177B,29,0.20689655172413793,0.41379310344827586,0.06896551724137931,0.6206896551724138
Luscombe,8F,29,0.06896551724137931,0.10344827586206896,0.06896551724137931,0.1724137931034483
AIRBUS,A330,29,11.413793103448276,0.3103448275862069,0.06896551724137931,11.724137931034482
Beech,19A,14,0.2857142857142857,0.0,0.07142857142857142,0.2857142857142857
